Garment Name:,Eylet with sheer long sleeves blk,,Retailer:,Banana Republic,,Style #,932102-00-1,,,Date:,31-Oct,,,,,,,,,,,,Size 00,,,,,,,,Size 0,,,,,,,,Size 2,,,,,,,,Size 4,,,,,,,,Size 6,,,,,,,,Size 8,,,,,,,,Size 10,,,,,,,,Size 12,,,,,,,,Size 14,,,,,,,,Size 16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,,XS,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,S,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,M,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,L,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,XL,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High,,Garment Measurement Flat,Stretch Type Percentage,Garment Measurement Stretch Fit,Maximum Body Measurement,Ideal Body Size High,Ideal Body Size Low,Differnce to lower size Ideal High
Garment Type,Blouse,Tunic,Tee *knit,Tank *knit,Jacket,Sweater,Pant/ Trouser,Pant/ Jean,Skirt,Dress,Coat,Blouse,Tunic,Tee *knit,Tank *knit,Jacket,Sweater,Pant/Trouser,Pant/Jean,Skirt,Dress,Coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Styling Type,Loose,,,,,,,,,,,Tailored,Loose,Loose,Loose,Blazer single breasted,Pull over,Legging,Legging,Fitted - skin tight,Fitted Princess to waist,Single Breasted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neckline,Jewel neck,,,,,,N/A,N/A,N/A,,,Princess Fit,Fitted,Fitted,Fitted,Blazer double breasted,Cardigan,Straight leg,Straight leg,Fitted - Tailored,Fitted Princess through hips,Double Breasted,CF Waist,,0%,0,,,,,CF Waist,10,0%,10,14.5,14.25,14,,CF Waist,10.5,0%,10.5,15,14.75,14.5,,CF Waist,11,0%,11,15.25,15,14.75,,CF Waist,11,0%,11,15.75,15.5,15.25,,CF Waist,11,0%,11,16.25,16,15.75,,CF Waist,,0%,0,,,,,CF Waist,,0%,0,,,,,CF Waist,,0%,0,,,,,CF Waist,,0%,0,,,,
Sleeve Styling,long sleeved,,,,,,N/A,N/A,N/A,,,Loose,,Polo,Camisole,Loose/Boxy,,Skinny,Skinny,A-line,Fitted Sheath,Loose/Boxy,Back Waist,,0%,0,,,,,Back Waist,13.5,0%,13.5,16,15.75,15.5,,Back Waist,13.5,0%,13.5,16.5,16.25,16,,Back Waist,14,0%,14,16.75,16.5,16.25,,Back Waist,14.5,0%,14.5,17.25,17,16.75,,Back Waist,15.5,0%,15.5,17.75,17.5,17.25,,Back Waist,,0%,0,,,,,Back Waist,,0%,0,,,,,Back Waist,,0%,0,,,,,Back Waist,,0%,0,,,,
Rise,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,Full/Poet,,Draped,,Swing/A-line,,Boot Cut,Boot Cut,Gathered- Dirndl,Empire,Swing/A-line,Waist to Hip,,0%,0,,,,,Waist to Hip,11,0%,11,,,,,Waist to Hip,11,0%,11,,,,,Waist to Hip,11.5,0%,11.5,,,,,Waist to Hip,12,0%,12,,,,,Waist to Hip,13,0%,13,,,,,Waist to Hip,20.5,0%,20.5,,,,,Waist to Hip,21,0%,21,,,,,Waist to Hip,,0%,0,,,,,Waist to Hip,,0%,0,,,,
Hem Length,Top of hip,,,,,,,,,,,Shell,,,,Vest,,Palazzo,Wide Leg,Pleated,Shift/Loose,Trench Single breasted,Inseam/Hem,0,0%,0,,,,,Inseam/Hem,40,0%,40,,,,,Inseam/Hem,42,0%,42,,,,,Inseam/Hem,44,0%,44,,,,,Inseam/Hem,46,0%,46,,,,,Inseam/Hem,48,0%,48,,,,,Inseam/Hem,40,0%,40,,,,,Inseam/Hem,41,0%,41,,,,,Inseam/Hem,,0%,0,,,,,Inseam/Hem,,0%,0,,,,
,,,,,,,,,,,,Camisole,,,,Fitted at Waist,,Pleated,Bell,Yoke fitted,Wrap,Trench Double breasted,Arm length,,0%,0,,,,,Arm length,23,0%,23,23.125,23,22.25,,Arm length,23.5,0%,23.5,23.625,23.5,22.75,,Arm length,23.5,0%,23.5,23.625,23.5,23,,Arm length,24,0%,24,24.125,24,23.25,,Arm length,24,0%,24,24.125,24,23.75,,Arm length,,0%,0,,,,,Arm length,,0%,0,,,,,Arm length,,0%,0,,,,,Arm length,,0%,0,,,,
,,,,,,,,,,,,,,,,Sweatshirt Zip,,Peg,,Peg,Shirt dress,Technical,Bust,,0%,0,,,,,Bust,36,0%,36,34,33.5,31,31,Bust,38,0%,38,36,35.5,33,-0.5,Bust,41,0%,41,39,38.5,36,0.5,Bust,42,0%,42,40,39.5,37,,Bust,48,0%,48,45,43.5,41.5,,Bust,,0%,0,,,,,Bust,,0%,0,,,,,Bust,,0%,0,,,,,Bust,,0%,0,,,,
Stretch Type,woven straight grain,horizonatal stretch,0%,vertical stretch,0%,,,,Photo of Garment,,,,,,,Sweatshirt Pullover,,Wide Leg,,Wrap,Jacket/Coat dress,Duffle,Waist,0,0%,0,,,,,Waist,34,0%,34,29,26.5,24,24,Waist,36,0%,36,31,28.5,26,-0.5,Waist,40,0%,40,34,31.5,29,0.5,Waist,42,0%,42,35,32.5,30,-1.5,Waist,44,0%,44,40,36.5,34.5,2,Waist,33,0%,33,,,,-36.5,Waist,34,0%,34,,,,0,Waist,,0%,0,,,,0,Waist,,0%,0,,,,0
,,,,,,,,,,,,,,,,Fatique,,Bell,,Gored,Formal with structured fit,Parka,Hip,0,0%,0,,,,,Hip,0,0%,0,37,36.5,34,34,Hip,0,0%,0,39,38.5,36,-0.5,Hip,0,0%,0,42,41.5,39,0.5,Hip,0,0%,0,43,42.5,40,-1.5,Hip,0,0%,0,48,46.5,44.5,2,Hip,40,0%,40,,,,-46.5,Hip,41,0%,41,,,,0,Hip,,0%,0,,,,0,Hip,,0%,0,,,,0
